Date,BAC,C,CFG,EQR,ES,ESS,FITB,MA,MCO,MET,MLM,NWS,NWSA,PNC,RF,SPGI,TFC,USB,V,VMC,WEC
2019-06-28,24.59164047241211,55.201412200927734,26.27796745300293,58.68417739868164,59.50201416015625,230.5016937255859,21.424880981445312,254.32630920410156,184.53433227539065,39.57193374633789,219.6087188720703,13.01252555847168,12.548105239868164,107.413330078125,11.333565711975098,215.26339721679688,36.202144622802734,39.46231842041016,165.48690795898438,129.62774658203125,67.19216918945312
2019-07-01,24.947797775268555,55.76105499267578,26.45631217956543,58.85424041748047,59.42349624633789,232.15977478027344,21.747407913208008,256.4800109863281,187.38772583007812,40.22523880004883,217.6808319091797,13.040489196777344,12.650426864624023,109.38504791259766,11.432183265686035,219.48757934570312,36.51898956298828,39.92170715332031,165.8587646484375,129.81658935546875,66.99873352050781
2019-07-02,24.71883773803711,55.52458953857422,26.025285720825195,59.85136413574219,60.2088623046875,235.7445068359375,21.278974533081055,260.1334533691406,189.21124267578125,39.83485412597656,216.3638153076172,12.965920448303224,12.566707611083984,109.22075653076172,11.27287483215332,222.0579833984375,35.95160675048828,39.8614616394043,167.1365509033203,129.3917236328125,67.90141296386719
2019-07-03,24.63404083251953,55.8477897644043,26.389427185058594,60.55478286743164,60.57014846801758,238.20004272460935,21.57846450805664,262.54644775390625,191.43161010742188,40.20930862426758,220.4771728515625,12.956597328186035,12.510899543762209,110.06578826904295,11.432183265686035,225.04425048828125,36.15793228149414,40.102439880371094,168.6526641845703,132.1200408935547,68.61064147949219
2019-07-05,24.81211853027344,56.28131866455078,26.67183303833008,60.23012161254883,60.46807098388672,237.7421112060547,21.77044677734375,261.642822265625,190.3166961669922,40.392539978027344,220.30535888671875,12.965920448303224,12.5201997756958,110.77000427246094,11.53839111328125,223.9669189453125,36.79899978637695,40.42628860473633,168.45242309570312,131.94065856933594,68.52196502685547
2019-07-08,24.7612361907959,56.068485260009766,26.45631217956543,60.93355178833008,60.507328033447266,239.98452758789065,21.547752380371097,261.08447265625,186.67909240722656,40.26507186889648,218.54928588867188,12.779492378234863,12.36207103729248,110.12056732177734,11.477701187133787,219.6104278564453,36.39373397827149,39.98948287963867,168.00428771972656,130.33580017089844,68.73959350585938
2019-07-09,24.88843536376953,56.407432556152344,26.74614715576172,61.31230545043945,60.44449615478515,241.12152099609375,21.701332092285156,263.11553955078125,187.12318420410156,40.137603759765625,218.4920654296875,12.770171165466309,12.371370315551758,110.15966033935548,11.614248275756836,218.75047302246097,36.88006210327149,40.17023468017578,169.47274780273438,130.2130889892578,69.07001495361328
2019-07-10,24.60860252380371,56.068485260009766,26.002994537353516,61.505523681640625,61.002105712890625,243.33241271972656,21.22522354125977,265.0792236328125,188.74822998046875,40.089805603027344,215.69581604003903,12.760848999023438,12.371370315551758,109.5806655883789,11.424598693847656,221.85003662109375,36.65900421142578,40.04973220825195,170.97930908203125,129.25953674316406,69.41659545898438
2019-07-11,24.89691734313965,56.44685745239258,26.426593780517575,61.289100646972656,61.30845642089844,241.58743286132812,21.54007339477539,267.90936279296875,190.5340118408203,40.16946029663086,214.7318878173828,12.714242935180664,12.296956062316896,110.68392944335938,11.553563117980955,225.3277282714844,37.07164764404297,40.26812744140625,172.3428955078125,129.15576171875,69.40853881835938
2019-07-12,24.97323989868164,56.57295608520508,26.567785263061523,60.94900131225586,60.90003967285156,239.992431640625,21.65526008605957,269.0836486816406,193.98260498046875,40.56780624389648,216.16342163085935,12.798133850097656,12.3806734085083,111.2551040649414,11.545978546142578,227.99267578125,37.1748046875,40.36603546142578,171.95193481445312,128.19276428222656,68.8846435546875
2019-07-15,24.778196334838867,56.525672912597656,26.06987571716309,61.165428161621094,61.06496810913086,240.71885681152344,21.355772018432617,268.9200439453125,193.6897125244141,40.456275939941406,214.72235107421875,12.816776275634766,12.427181243896484,109.69805145263672,11.363908767700195,227.6429748535156,36.82111740112305,40.00454330444336,172.18077087402344,127.2298583984375,69.59388732910156
2019-07-16,24.583166122436523,56.21826171875,25.965835571289062,60.94900131225586,60.54659652709961,240.26080322265625,21.386489868164062,266.2728271484375,193.67079162597656,40.23320007324219,219.6277618408203,12.937954902648926,12.631820678710938,108.5713348388672,11.333565711975098,226.83029174804688,36.57794952392578,39.94430160522461,170.97930908203125,129.92982482910156,69.42462921142578
2019-07-17,24.75275993347168,55.82413101196289,25.52737045288086,60.78666687011719,60.7586669921875,239.716064453125,21.17914772033691,264.9830322265625,191.582763671875,39.802982330322266,217.99575805664065,12.611709594726562,12.296956062316896,109.29116821289062,11.159085273742676,227.19883728027344,36.57794952392578,40.832950592041016,170.82675170898438,129.8920440673828,70.03716278076172
2019-07-18,24.99867248535156,56.5887336730957,25.728023529052734,60.74802780151367,61.57545852661133,239.2502288818359,21.355772018432617,266.4268798828125,193.00001525878903,39.83485412597656,215.2377014160156,12.732885360717772,12.352767944335938,109.56729125976562,11.21977424621582,227.8509063720703,37.6021842956543,41.56344985961914,172.1426239013672,128.78749084472656,70.8028335571289
2019-07-19,24.930831909179688,55.902950286865234,27.37039566040039,59.63492584228515,60.2952766418457,232.84674072265625,21.455602645874023,265.2911376953125,189.8064727783203,39.611785888671875,214.0829315185547,12.593066215515137,12.222543716430664,109.5278549194336,11.477701187133787,226.7357940673828,37.32217025756836,41.42037582397461,170.91258239746094,128.40048217773438,69.56163787841797
2019-07-22,25.074996948242188,56.052730560302734,27.184608459472656,59.426231384277344,60.405235290527344,230.5964508056641,21.363445281982425,268.1885070800781,191.1103515625,39.643653869628906,210.97174072265625,12.667638778686523,12.334163665771484,110.1117172241211,11.47011375427246,228.1816864013672,37.16743850708008,41.66889190673828,172.18077087402344,127.0221710205078,69.53746795654297
