Date,long,short,long_short
2019-04-11,0.0012476042926973,0.0016745734332582,-0.0004269691405608
2019-04-12,0.0026851835776754,0.014149457490356,-0.0114642739126806
2019-04-15,-7.709100806791011e-05,-0.0043605051298304,0.0042834141217625
2019-04-16,-0.0076663743924806,0.0107797554526275,-0.0184461298451082
2019-04-17,-0.0139444466451731,-0.003778107903045,-0.0101663387421281
2019-04-18,0.002309479515978,-0.0001908801515647,0.0025003596675428
2019-04-22,0.0040046570401966,-0.0007021309428469,0.0047067879830436
2019-04-23,0.0129364495340592,0.0048848847638171,0.0080515647702421
2019-04-24,0.0034620996496992,6.617444953254076e-05,0.0033959252001666
2019-04-25,-0.002724964696376,-0.0159841842817274,0.0132592195853513
2019-04-26,0.0051527181765376,0.0074786114721422,-0.0023258932956046
2019-04-29,-0.0016570322312929,0.0073473837864678,-0.0090044160177607
2019-04-30,0.0030076411714646,0.000165189292921,0.0028424518785436
2019-05-01,-0.0133157319441538,-0.0096423085357988,-0.0036734234083549
2019-05-02,0.0054479214358229,-0.0026730333328399,0.0081209547686628
2019-05-03,0.0080744170051291,0.0153286030080372,-0.0072541860029081
2019-05-06,-0.0028380192699126,-0.0087785244705179,0.0059405052006053
2019-05-07,-0.0202422828355833,-0.023482547776251,0.0032402649406676
2019-05-08,0.0004665063014341,-0.0021958716707352,0.0026623779721694
2019-05-09,-0.0036625931966788,-0.0018542855239183,-0.0018083076727605
2019-05-10,0.0022361787992781,-0.0018852468541145,0.0041214256533927
2019-05-13,-0.027875042953136,-0.0372531626630168,0.0093781197098807
2019-05-14,0.016968356691557,0.0152726873761205,0.0016956693154365
2019-05-15,0.0046484869409051,0.0033835283672892,0.0012649585736158
2019-05-16,0.012931098423406,-0.00061758980762,0.013548688231026
2019-05-17,-0.0071933983546878,-0.0165374083854982,0.0093440100308103
2019-05-20,-0.0099304384506111,-0.010661832363337,0.0007313939127258
2019-05-21,0.0138131647506783,0.017650025867841,-0.0038368611171626
2019-05-22,0.0011508560972937,-0.0123749728430201,0.0135258289403138
2019-05-23,-0.0176795419200608,-0.0172804982133998,-0.000399043706661
2019-05-24,0.0025138941123293,-0.0022483618732117,0.0047622559855411
2019-05-28,0.0011116340252973,-0.0148909330474955,0.0160025670727929
2019-05-29,-0.0138982953194767,-0.0077042951616832,-0.0061940001577935
2019-05-30,0.0071447993006608,-0.0069767334560448,0.0141215327567056
2019-05-31,-0.007297977212014,-0.0178847861122736,0.0105868089002595
2019-06-03,-0.008182656733101,0.0107088729267823,-0.0188915296598833
2019-06-04,0.0227636984180428,0.0336050659757046,-0.0108413675576618
2019-06-05,0.0126268688738976,-0.0043224442267655,0.0169493131006632
2019-06-06,0.0142523395970497,0.002444549313424,0.0118077902836257
2019-06-07,0.0125215214790248,0.005656763257177,0.0068647582218477
2019-06-10,0.0036980590374264,0.0086533668180708,-0.0049553077806444
2019-06-11,-0.0020149997169373,0.0023812271438371,-0.0043962268607745
2019-06-12,0.0037302232424003,-0.0134574289820048,0.0171876522244052
2019-06-13,0.0023863490514369,0.0139490990489942,-0.0115627499975573
2019-06-14,-0.0031917446718102,-0.0058257615378996,0.0026340168660894
2019-06-17,0.0017190865467292,-0.0011549487383265,0.0028740352850558
2019-06-18,0.0111293807535405,0.0224792509789727,-0.0113498702254321
2019-06-19,0.0080651006151385,0.0037304212415671,0.0043346793735714
2019-06-20,0.0085589995486122,0.0143060341332553,-0.005747034584643
2019-06-21,-0.0082513854912239,-0.0046267864434637,-0.0036245990477602
2019-06-24,-0.0062731062547301,-0.0077613671405605,0.0014882608858304
2019-06-25,-0.0107998769280024,-0.0052697558840215,-0.0055301210439808
2019-06-26,-0.0064250989376609,0.0114611704563614,-0.0178862693940224
2019-06-27,0.0085767575782746,0.0104871922005143,-0.0019104346222397
2019-06-28,0.007341394817376,0.0142667886207582,-0.0069253938033821
2019-07-01,0.0102402951539901,0.0083970802938977,0.0018432148600923
2019-07-02,0.0036795911391552,-0.0118721857238667,0.015551776863022
2019-07-03,0.010114727177093,0.0077742929408464,0.0023404342362466
2019-07-05,-0.0004011533200235,-0.0008286743695474,0.0004275210495239
2019-07-08,-0.0047947190159555,-0.007189532648078,0.0023948136321224
2019-07-09,0.0040615844897518,0.0015657644464613,0.0024958200432905
